state,number_of_regions
Central,4
Southern,2
Ulaanbaatar,2
San Juan,2
Huila,2
Vienna,2
Centre,2
Upper Austria,2
Styria,2
Santiago,2
La Libertad,2
Salzburg,2
Ouest,2
Ash Sharqiyah,2
National Capital,2
Carinthia,2
Tyrol,2
Novosibirsk,1
Novgorod,1
Nueva Esparta,1
Nova Scotia,1
Nuevo León,1
Northland,1
Northern Territory,1
Northern Mindanao,1
North-West,1
Nouakchott,1
Nusa Tenggara Barat,1
Nusa Tenggara Timur,1
Nyanza,1
Nzérékoré,1
O'Higgins,1
Oaxaca,1
Odisha,1
Ogun,1
Ohio,1
Oita,1
Okayama,1
Oklahoma,1
Northern,1
Newfoundland,1
New York,1
New South Wales,1
New Mexico,1
New Jersey,1
New Hampshire,1
Nevsehir,1
Nevada,1
North Holland,1
Nelson,1
Negeri Sembilan,1
Nebraska,1
Neamt,1
Nayarit,1
Navarra,1
Nariño,1
Nangarhar,1
Neuquén,1
North Rhine-Westphalia,1
North Lebanon,1
Olomouc,1
North Dakota,1
North Carolina,1
North Brabant,1
Norte de Santander,1
Nord-Pas-de-Calais,1
Niamey,1
Nord,1
Nitra,1
Ningxia,1
Ninawa,1
Niger,1
Nigde,1
Niassa,1
Niari,1
Nord-Ouest,1
Poltava,1
Poitou-Charentes,1
Podlaskie,1
Podgorica,1
Plzen,1
Plovdiv,1
Pleven,1
Oran,1
Plateau,1
Piura,1
Pinar del Río,1
Piedmont,1
Pichincha,1
Picardy,1
Piauí,1
Phnom Penh,1
Plateaux,1
Qazvin,1
Qashqadaryo,1
Qaraghandy,1
Pwani,1
Puno,1
Punjab,1
Puebla,1
Pomerania,1
Provincia de Buenos Aires,1
Provence-Alpes-Côte d'Azur,1
Primorsko-Goranska,1
Prahova,1
Prague,1
Potosí,1
Portuguesa,1
Porto,1
Puducherry,1
Ouémé,1
Otago,1
Osun,1
Osmaniye,1
Oslo,1
Osjecko-Baranjska,1
Osh,1
Pernik,1
Oruro,1
Orientale,1
Oregon,1
Ordu,1
Namur,1
Opole,1
Ontario,1
Ondo,1
Osaka,1
Pernambuco,1
Peravia,1
Perak,1
Pennsylvania,1
Pazardzhik,1
Paysandú,1
Pays de la Loire,1
Overijssel,1
Pará,1
Paraíba,1
Parana,1
Papua,1
Panevezys,1
Panama,1
Pahang,1
Oyo,1
Pavlodar,1
Managua,1
Manabi,1
Maluku,1
Malatya,1
Malanje,1
Makkah,1
Maine,1
Namangan,1
Magdalena,1
Magallanes y Antártica Chilena,1
Madrid,1
Madhya Pradesh,1
Lusaka,1
Luhans'k,1
Lucerne,1
Lubusz,1
Maharashtra,1
Maritime,1
Mardin,1
Marche,1
Maranhão,1
Maramures,1
Maradi,1
Mara,1
Manawatu-Wanganui,1
Manzini,1
Manitoba,1
Manisa,1
Manipur,1
Maniema,1
Manicaland,1
Manica,1
Mandoul,1
Maputo,1
Limpopo,1
Limousin,1
Limburg,1
Lima (city),1
Lima,1
Liguria,1
Liberec,1
Lublin,1
León,1
Lesser Poland,1
Lebap,1
Lazio,1
Las Tunas,1
Lara,1
Languedoc-Roussillon,1
Lambayeque,1
Liaoning,1
Luanda,1
Lower Saxony,1
Lower Normandy,1
Louisiana,1
Los Rios,1
Los Lagos,1
Lorraine,1
Lisboa,1
Loreto,1
Lorestan,1
Lombardy,1
Lodz,1
Ljubljana,1
Liège,1
Littoral,1
Litoral,1
Lori,1
Moscow,1
Morogoro,1
Morelos,1
Moravian-Silesian,1
Moquegua,1
Mopti,1
Montserrado,1
Markazi,1
Montana,1
Monseñor Nouel,1
Mono,1
Monagas,1
Missouri,1
Mississippi,1
Misratah,1
Misiones,1
Montevideo,1
Nampula,1
Namibe,1
Qina,1
Nakhon Ratchasima,1
Nairobi,1
Nagasaki,1
Nagano,1
Mostaganem,1
Mérida,1
Mykolayiv,1
Mwanza,1
Mures,1
Murcia,1
Muharraq,1
Mtwara,1
Mpumalanga,1
México,1
Matruh,1
Mato Grosso do Sul,1
Mato Grosso,1
Matanzas,1
Matagalpa,1
Matabeleland North,1
Massachusetts,1
Miranda,1
Mashonaland West,1
Maseru,1
Masaya,1
Maryland,1
Mary,1
Martinique,1
Marrakech-Tensift-El Haouz,1
Marlborough,1
Masovia,1
Minnesota,1
Minas Gerais,1
Mie,1
Midi-Pyrénées,1
Michoacán,1
Michigan,1
Meta,1
Mersin,1
Mayabeque,1
Melilla,1
Meknès-Tafilalet,1
Mehedinti,1
Medea,1
Mecklenburg-Vorpommern,1
Mbeya,1
Mazandaran,1
Maysan,1
Mendoza,1
Tizi Ouzou,1
Tlemcen,1
Tocantins,1
Tochigi,1
Tokat,1
Tokyo,1
Tolima,1
Tottori,1
Trabzon,1
Trengganu,1
Trentino-Alto Adige,1
Tripura,1
Tunis,1
Tuscany,1
Táchira,1
Quezaltenango,1
Valparaíso,1
Vallee Du Bandama,1
Valle del Cauca,1
Valenciana,1
Valcea,1
Uusimaa,1
Uttarakhand,1
Ucayali,1
Utrecht,1
Utah,1
Usti nad Labem,1
Usak,1
Uppsala,1
Upper Normandy,1
Umbria,1
Ulsan,1
Uttar Pradesh,1
Tarija,1
Tarapacá,1
Taranaki,1
Tanger-Tétouan,1
Tanga,1
Tamil Nadu,1
Tambov,1
Tipaza,1
Taipei City,1
Tadla-Azilal,1
Tabuk,1
Tabora,1
Tabasco,1
Ta'izz,1
T?nh C?n Th?,1
Södermanland,1
Tamaulipas,1
Timis,1
Tianjin,1
Thuringia,1
Thies,1
Th? Dô Hà N?i,1
Texas,1
Tete,1
Tartumaa,1
Tennessee,1
Telangana,1
Tel Aviv,1
Tekirdag,1
Tehran,1
Tbilisi,1
Taza-Al Hoceima-Taounate,1
Tasmania,1
Ternopil',1
Woqooyi Galbeed,1
Adamaoua,1
Adamawa,1
Adana,1
Adiyaman,1
Afyonkarahisar,1
Aichi,1
Ajman,1
Aksaray,1
Akwa Ibom,1
Al Bahr Al Ahmar,1
Al Basrah,1
Al Buhayrah,1
Al Fayyum,1
Al Gharbiyah,1
Van,1
Yunnan,1
Yucatán,1
Yoro,1
Yogyakarta,1
Yobe,1
Yevrey,1
Yazd,1
Al Hudaydah,1
Yaracuy,1
Yangon,1
Yambol,1
Yamaguchi,1
Yalova,1
Xinjiang Uygur,1
Abia,1
Abruzzi,1
Yaroslavl',1
Volyn,1
Vlorë,1
Vladimir,1
Vitsyebsk,1
Virginia,1
Vinnytsya,1
Vilnius,1
Wisconsin,1
Victoria,1
Vest-Agder,1
Vermont,1
Veracruz,1
Veneto,1
Vaud,1
Varna,1
Vargas,1
Villa Clara,1
White Nile,1
Western Visayas,1
Western Cape,1
Western Australia,1
Western,1
West Virginia,1
West Flanders,1
Voronezh,1
Wellington,1
Washington,1
Wales,1
Waikato,1
Västra Götaland,1
Värmland,1
Vratsa,1
Vrancea,1
West Bengal,1
Sabah,1
Saga,1
Saida,1
Saint Catherine,1
Saint Michael,1
Saint-Louis,1
Saitama,1
Salah Ad Din,1
Salta,1
Samsun,1
San Cristóbal,1
San Fernando,1
San Luis,1
San Luis Potosí,1
San Pedro de Macorís,1
São Paulo,1
Saxony,1
Savanes,1
Satu Mare,1
Saskatchewan,1
Sardinia,1
Sarawak,1
Santo Domingo,1
San Salvador,1
Santiago de Cuba,1
Santander,1
Santa Fe,1
Santa Cruz,1
Santa Catarina,1
Santa Ana,1
Sanliurfa,1
Sancti Spíritus,1
Santiago del Estero,1
Rhineland-Palatinate,1
Red Sea,1
Razavi Khorasan,1
Rajshahi,1
Rajasthan,1
Rabat-Salé-Zemmour-Zaer,1
Ra's Al Khaymah,1
Saarland,1
Quindío,1
Lagunes,1
Querétaro,1
Queensland,1
Quebec,1
Qostanay,1
Qom,1
Qinghai,1
Quintana Roo,1
Río Negro,1
Ruvuma,1
Roraima,1
Rondônia,1
Rogaland,1
Rize,1
Rivne,1
Rhode Island,1
Rivera,1
Risaralda,1
Rio de Janeiro,1
Rio Grande do Sul,1
Rio Grande do Norte,1
Rift Valley,1
Riau,1
Rhône-Alpes,1
Rivers,1
St. Gallen,1
Splitsko-Dalmatinska,1
Southland,1
South Kivu,1
South Khorasan,1
South Holland,1
South Dublin,1
Saxony-Anhalt,1
South Dakota,1
South Chungcheong,1
South Carolina,1
South Australia,1
Souss-Massa-Draâ,1
Sonsonate,1
Sonora,1
Sokoto,1
South Denmark,1
Sylhet,1
Surxondaryo,1
Sumy,1
Sumatera Utara,1
Sumatera Selatan,1
Sumatera Barat,1
Sulawesi Utara,1
Stara Zagora,1
Sulawesi Tengah,1
Suhaj,1
Sud-Ouest,1
Sud,1
Sucre,1
Suceava,1
Stockholm,1
Stavropol',1
Sulawesi Tenggara,1
Shumen,1
Shkodër,1
Shizuoka,1
Shinyanga,1
Shanxi,1
Shanghai,1
Shandong,1
Sofiya-Grad,1
Sevastopol',1
Setúbal,1
Sergipe,1
Seoul,1
Semnan,1
Selangor,1
Scotland,1
Schleswig-Holstein,1
Shaanxi,1
Sofala,1
Sliven,1
Skåne,1
Skikda,1
Sivas,1
Sistan Va Baluchestan,1
Sirnak,1
Sibiu,1
Sindh,1
Sinaloa,1
Silesia,1
Sikasso,1
Siirt,1
Sidi Bel Abbes,1
Sicily,1
Sichuan,1
Singapore,1
Buzau,1
Buskerud,1
Bushehr,1
Busan,1
Bursa,1
Burgundy,1
Burgas,1
Lacs,1
Bulawayo,1
Bujumbura-Mairie,1
Buenos Aires,1
Budapest,1
Bryansk,1
Brussels,1
Brittany,1
British Columbia,1
Bur Sa'id,1
Caras-Severin,1
Carabobo,1
Caquetá,1
Canterbury,1
Cantabria,1
Canelones,1
Canakkale,1
Cabo Delgado,1
Campania,1
Camagüey,1
Callao,1
California,1
Caldas,1
Calabria,1
Calabarzon,1
Cajamarca,1
Campeche,1
Bishkek,1
Biobio,1
Bingol,1
Bihor,1
Bihar,1
Bie,1
Bern,1
Brest,1
Benue,1
Beni,1
Benguela,1
Bengkulu,1
Belgorod,1
Bekes,1
Bejaia,1
Beirut,1
Berlin,1
Bremen,1
Brasov,1
Brandenburg,1
Braila,1
Braga,1
Boyacá,1
Botosani,1
Bissau,1
Borgou,1
Bolívar,1
Bolu,1
Bolivar,1
Bogota,1
Boeny,1
Bitola,1
Bistrita-Nasaud,1
Borno,1
Cordillera,1
Copperbelt,1
Constantine,1
Constanta,1
Connecticut,1
Colón,1
Colorado,1
Casanare,1
Cojedes,1
Coimbra,1
Cochabamba,1
Coast,1
Coahuila,1
Cluj,1
Cienfuegos,1
Ciego de Ávila,1
Colima,1
Delhi,1
Delaware,1
Dayr Az Zawr,1
Dar Es Salaam,1
Dakar,1
Dagestan,1
Daejeon,1
Cork,1
Córdoba,1
Cuscatlán,1
Cundinamarca,1
Cross River,1
Corum,1
Cortés,1
Corsica,1
Corrientes,1
Daegu,1
Chaouia-Ouardigha,1
Chandigarh,1
Champagne-Ardenne,1
Chaguanas,1
Chaco,1
Ceuta,1
Cesar,1
Cidade De Maputo,1
Central Luzon,1
Central Jutland,1
Central Equatoria,1
Ceará,1
Catamarca,1
Catalonia,1
Castile-La Mancha,1
Castile and León,1
Centrale,1
Chuquisaca,1
Chubut,1
Chongqing,1
Choluteca,1
Chocó,1
Chittagong,1
Chisinau,1
Chelyabinsk,1
Chinandega,1
Chimaltenango,1
Chihuahua,1
Chiba,1
Chiapas,1
Chhattisgarh,1
Chernihiv,1
Cherkasy,1
Chiriquí,1
Ankara,1
Anhui,1
Andijan,1
Andhra Pradesh,1
Andalusía,1
Ancash,1
Anambra,1
Beijing,1
Amur,1
Amman,1
Amazonas,1
Amasya,1
Amapá,1
Alsace,1
Almaty City,1
Almaty,1
Analamanga,1
Arbil,1
Arauca,1
Aragua,1
Arad,1
Ar Riyad,1
Ar Raqqah,1
Aquitaine,1
Annaba,1
Apulia,1
Aomori,1
Anzoátegui,1
Antwerp,1
Antofagasta,1
Antioquia,1
Antalya,1
Anseba,1
Aqmola,1
Zhytomyr,1
Zhejiang,1
Zhambyl,1
Zeeland,1
Zealand,1
Zaporizhzhya,1
Zanjan,1
Alibori,1
Zambezia,1
Abuja Capital Territory,1
Zacatecas,1
Zagrebacka,1
Al Iskandariyah,1
Wyoming,1
Ad Dawhah,1
Acre,1
Zamfara,1
Alger,1
Alberta,1
Alagoas,1
Alabama,1
Al Qahirah,1
Al Qadisiyah,1
Al Minya,1
Ziguinchor,1
Al Marqab,1
Al Madinah,1
Al Jawf,1
Žilina,1
Šiauliai,1
Zürich,1
Zulia,1
Zinder,1
Al Minufiyah,1
Bandundu,1
Banaadir,1
Bamako,1
Baluchistan,1
Balti,1
Balikesir,1
Bali,1
Ardabil,1
Baki,1
Baja California Sur,1
Baja California,1
Bahia,1
Baghdad,1
Baden-Württemberg,1
Bacau,1
Babil,1
Balearic Islands,1
Bechar,1
Bay of Plenty,1
Bavaria,1
Bauchi,1
Batna,1
Batman,1
Basque Country,1
Banghazi,1
Bashkortostan,1
Basel-Stadt,1
Bas-Congo,1
Barahona,1
Banská Bystrica,1
Bani Suwayf,1
Bangui,1
Bangkok,1
Basilicata,1
Astrakhan',1
Astana,1
Assam,1
Asir,1
Ashgabat,1
Ashanti,1
Arusha,1
Azuay,1
Artemisa,1
Arkhangel'sk,1
Arkansas,1
Arizona,1
Arica y Parinacota,1
Arges,1
Arequipa,1
Ardahan,1
Artibonite,1
Aydin,1
Ayacucho,1
Aveiro,1
Auvergne,1
Australian Capital Territory,1
Auckland,1
Atsinanana,1
Asturias,1
Atlántida,1
Atlántico,1
Atlantique,1
Atakora,1
Atacama,1
Asyut,1
Aswan,1
Asunción,1
Atsimo-Andrefana,1
Jharkhand,1
Jerusalem,1
Jeju,1
Jawa Timur,1
Jawa Tengah,1
Jawa Barat,1
Jammu and Kashmir,1
Delta,1
Jalisco,1
Jakarta,1
Izmir,1
Ivanovo,1
Ivano-Frankivsk,1
Istanbul,1
Isparta,1
Isla de la Juventud,1
Jambi,1
Kalimantan Barat,1
Kahramanmaras,1
Kagawa,1
Kafr Ash Shaykh,1
Kaduna,1
Kabul,1
Kabarole,1
Jiangsu,1
Junín,1
Jujuy,1
Jubbada Hoose,1
Jizzakh,1
Jizan,1
Jinja,1
Jilin,1
Jiangxi,1
Kabardino-Balkariya,1
Iasi,1
Hyogo,1
Hunedoara,1
Hunan,1
Huehuetenango,1
Hubei,1
Huambo,1
Ishikawa,1
Hradec Kralove,1
Hovedstaden,1
Hormozgan,1
Hordaland,1
Hong Kong,1
Homyel',1
Holguín,1
Hokkaido,1
Hrodna,1
Irkutsk,1
Iringa,1
Irbid,1
Iowa,1
Inner Mongolia,1
Inhambane,1
Indiana,1
Ibaraki,1
Imereti,1
Illinois,1
Ile-de-France,1
Ilam,1
Igdir,1
Idaho,1
Ica,1
Ibb,1
Imo,1
Konya,1
Kocaeli,1
Klaipeda,1
Kiên Giang,1
Kirsehir,1
Kirovohrad,1
Kinshasa,1
Kalimantan Selatan,1
Kilis,1
Kilimanjaro,1
Kigoma,1
Kigali,1
Khánh Hòa,1
Khyber Pakhtunkhwa,1
Khuzestan,1
Khulna,1
Kindia,1
Lagos,1
Laghouat,1
Aceh,1
La Vega,1
La Romana,1
La Rioja,1
La Paz,1
Kordestan,1
L'viv,1
Kymenlaakso,1
Kwazulu-natal,1
Kwara,1
Kutahya,1
Kumanovo,1
Kuala Lumpur,1
Korçë,1
La Pampa,1
Kasai-Oriental,1
Kasai-Occidental,1
Kars,1
Karnataka,1
Karbala',1
Karaman,1
Kara,1
Khorezm,1
Kano,1
Kankan,1
Kandahar,1
Kanagawa,1
Kampala,1
Kaluga,1
Kaliningrad,1
Kalimantan Timur,1
Kansas,1
Khomas,1
Khmel'nyts'kyy,1
Kherson,1
Khatlon,1
Khartoum,1
Kharkiv,1
Kermanshah,1
Kassala,1
Kerala,1
Kentucky,1
Kayseri,1
Kayes,1
Kaunas,1
Katsina,1
Katanga,1
Kastamonu,1
Kerman,1
Extreme-Nord,1
Extremadura,1
Estuaire,1
Estelí,1
Est,1
Espírito Santo,1
Espaillat,1
Ho Chí Minh City,1
Esfahan,1
Escuintla,1
Erzurum,1
Equateur,1
Enugu,1
Entre Ríos,1
England,1
Emilia-Romagna,1
Eskisehir,1
Fès-Boulemane,1
Fukuoka,1
Fukui,1
Fujian,1
Fromager,1
Friuli-Venezia Giulia,1
Friesland,1
F.C.T.,1
Francisco Morazán,1
Franche-Comté,1
Florida,1
Flemish Brabant,1
Finland Proper,1
Federation of Bosnia and Herzegovina,1
Federal District,1
Fars,1
Free State,1
Dolj,1
Dnipropetrovs'k,1
Djibouti,1
Djelfa,1
Diyarbakir,1
Diyala,1
Dix-Huit Montagnes,1
Elbasan,1
Distrito Capital,1
District of Columbia,1
Dire Dawa,1
Diffa,1
Diana,1
Dhi Qar,1
Dhaka,1
Denizli,1
Distrito Federal,1
Elazig,1
Edo,1
Edirne,1
Ebonyi,1
Eastern Cape,1
Eastern,1
East Flanders,1
Donetsk,1
Dà Nang,1
Durrës,1
Durango,1
Dublin,1
Duarte,1
Drenthe,1
Doukkala-Abda,1
Donga,1
Düzce,1
Hamadan,1
Halland,1
Hajdu-Bihar,1
Hainaut,1
Hainan,1
Haifa,1
Gyor,1
Galati,1
Gyeonggi,1
Guárico,1
Gunma,1
Gulu,1
Gujarat,1
Guizhou,1
Guerrero,1
Guelmim-Es Semara,1
Gyeongsangnam,1
Hiroshima,1
Hirat,1
Hims,1
Hidalgo,1
Hesse,1
Henan,1
Heilongjiang,1
Hamburg,1
Hebei,1
Hawke's Bay,1
Haute-Matsiatra,1
Haut-Sassandra,1
Hatay,1
Haryana,1
Harjumaa,1
Harare,1
Hedmark,1
Golestan,1
Goiás,1
Giurgiu,1
Gisborne,1
Gilan,1
Gharb-Chrarda-Béni Hssen,1
Gezira,1
Guelma,1
Geneva,1
Gelderland,1
Gaziantep,1
Gauteng,1
Gansu,1
Gangwon,1
Galway,1
Galicia,1
Georgia,1
Guayas,1
Guatemala,1
Guantánamo,1
Guangxi,1
Guangdong,1
Guanajuato,1
Guadeloupe,1
Gombe,1
Greater Poland,1
Greater Accra,1
Granma,1
Grand Gedeh,1
Grand Casablanca,1
Granada,1
Grad Zagreb,1
Gorj,1
Groningen,1
